Test ID,Suite,Description,priority ,Failure reason
lifecycle-pod-scheduling,lifecycle,"Ensures that workload Pods do not specify nodeSelector or nodeAffinity. In most cases, Pods should allow for instantiation on any underlying Node. Workloads shall not use node selectors nor taints/tolerations to assign pod location.",2,"Pod: Reason For Non Compliance=Pod has node affinity; Namespace=nedr-agent; Pod Name=nedr-agent-4pnr4 Pod: Reason For Non Compliance=Pod has node affinity; Namespace=nedr-agent; Pod Name=nedr-agent-5wfwt Pod: Reason For Non Compliance=Pod has node affinity; Namespace=nedr-agent; Pod Name=nedr-agent-6jqqt Pod: Reason For Non Compliance=Pod has node affinity; Namespace=nedr-agent; Pod Name=nedr-agent-hrcdd Pod: Reason For Non Compliance=Pod has node affinity; Namespace=nedr-agent; Pod Name=nedr-agent-ll4bf Pod: Reason For Non Compliance=Pod has node affinity; Namespace=nedr-agent; Pod Name=nedr-agent-pnrjk Log: [ERROR] [Apr 16 14:47:44.827] [suite.go: 380] [lifecycle-pod-scheduling] Pod ""pod: nedr-agent-4pnr4 ns: nedr-agent"" has a node affinity clause. Node affinity: &NodeAffinity{RequiredDuringSchedulingIgnoredDuringExecution:&NodeSelector{NodeSelectorTerms:[]NodeSelectorTerm{NodeSelectorTerm{MatchExpressions:[]NodeSelectorRequirement{},MatchFields:[]NodeSelectorRequirement{NodeSelectorRequirement{Key:metadata.name,Operator:In,Values:[nedr0006node05.nedr0006.ds.tre.nsn-rdnet.net],},},},},},PreferredDuringSchedulingIgnoredDuringExecution:[]PreferredSchedulingTerm{},} [ERROR] [Apr 16 14:47:44.827] [suite.go: 380] [lifecycle-pod-scheduling] Pod ""pod: nedr-agent-5wfwt ns: nedr-agent"" has a node affinity clause. Node affinity: &NodeAffinity{RequiredDuringSchedulingIgnoredDuringExecution:&NodeSelector{NodeSelectorTerms:[]NodeSelectorTerm{NodeSelectorTerm{MatchExpressions:[]NodeSelectorRequirement{},MatchFields:[]NodeSelectorRequirement{NodeSelectorRequirement{Key:metadata.name,Operator:In,Values:[nedr0006node03.nedr0006.ds.tre.nsn-rdnet.net],},},},},},PreferredDuringSchedulingIgnoredDuringExecution:[]PreferredSchedulingTerm{},} [ERROR] [Apr 16 14:47:44.827] [suite.go: 380] [lifecycle-pod-scheduling] Pod ""pod: nedr-agent-6jqqt ns: nedr-agent"" has a node affinity clause. Node affinity: &NodeAffinity{RequiredDuringSchedulingIgnoredDuringExecution:&NodeSelector{NodeSelectorTerms:[]NodeSelectorTerm{NodeSelectorTerm{MatchExpressions:[]NodeSelectorRequirement{},MatchFields:[]NodeSelectorRequirement{NodeSelectorRequirement{Key:metadata.name,Operator:In,Values:[nedr0006node01.nedr0006.ds.tre.nsn-rdnet.net],},},},},},PreferredDuringSchedulingIgnoredDuringExecution:[]PreferredSchedulingTerm{},} [ERROR] [Apr 16 14:47:44.828] [suite.go: 380] [lifecycle-pod-scheduling] Pod ""pod: nedr-agent-hrcdd ns: nedr-agent"" has a node affinity clause. Node affinity: &NodeAffinity{RequiredDuringSchedulingIgnoredDuringExecution:&NodeSelector{NodeSelectorTerms:[]NodeSelectorTerm{NodeSelectorTerm{MatchExpressions:[]NodeSelectorRequirement{},MatchFields:[]NodeSelectorRequirement{NodeSelectorRequirement{Key:metadata.name,Operator:In,Values:[nedr0006node02.nedr0006.ds.tre.nsn-rdnet.net],},},},},},PreferredDuringSchedulingIgnoredDuringExecution:[]PreferredSchedulingTerm{},} [ERROR] [Apr 16 14:47:44.828] [suite.go: 380] [lifecycle-pod-scheduling] Pod ""pod: nedr-agent-ll4bf ns: nedr-agent"" has a node affinity clause. Node affinity: &NodeAffinity{RequiredDuringSchedulingIgnoredDuringExecution:&NodeSelector{NodeSelectorTerms:[]NodeSelectorTerm{NodeSelectorTerm{MatchExpressions:[]NodeSelectorRequirement{},MatchFields:[]NodeSelectorRequirement{NodeSelectorRequirement{Key:metadata.name,Operator:In,Values:[nedr0006node06.nedr0006.ds.tre.nsn-rdnet.net],},},},},},PreferredDuringSchedulingIgnoredDuringExecution:[]PreferredSchedulingTerm{},} [ERROR] [Apr 16 14:47:44.828] [suite.go: 380] [lifecycle-pod-scheduling] Pod ""pod: nedr-agent-pnrjk ns: nedr-agent"" has a node affinity clause. Node affinity: &NodeAffinity{RequiredDuringSchedulingIgnoredDuringExecution:&NodeSelector{NodeSelectorTerms:[]NodeSelectorTerm{NodeSelectorTerm{MatchExpressions:[]NodeSelectorRequirement{},MatchFields:[]NodeSelectorRequirement{NodeSelectorRequirement{Key:metadata.name,Operator:In,Values:[nedr0006node04.nedr0006.ds.tre.nsn-rdnet.net],},},},},},PreferredDuringSchedulingIgnoredDuringExecution:[]PreferredSchedulingTerm{},}"
lifecycle-pod-toleration-bypass,lifecycle,"Check that pods do not have NoExecute, PreferNoSchedule, or NoSchedule tolerations that have been modified from the default.",2,"Pod: Reason For Non Compliance=Pod has non-default toleration; Namespace=nedr-agent; Pod Name=nedr-agent-4pnr4; Toleration Key=node-role.kubernetes.io/master; Toleration Effect=NoSchedule Pod: Reason For Non Compliance=Pod has non-default toleration; Namespace=nedr-agent; Pod Name=nedr-agent-4pnr4; Toleration Key=is_edge; Toleration Effect=NoExecute Pod: Reason For Non Compliance=Pod has non-default toleration; Namespace=nedr-agent; Pod Name=nedr-agent-4pnr4; Toleration Key=is_control; Toleration Effect=NoExecute Pod: Reason For Non Compliance=Pod has non-default toleration; Namespace=nedr-agent; Pod Name=nedr-agent-4pnr4; Toleration Key=node-role.kubernetes.io/infra; Toleration Effect= Pod: Reason For Non Compliance=Pod has non-default toleration; Namespace=nedr-agent; Pod Name=nedr-agent-4pnr4; Toleration Key=node.ocs.openshift.io/gateway; Toleration Effect=NoExecute Pod: Reason For Non Compliance=Pod has non-default toleration; Namespace=nedr-agent; Pod Name=nedr-agent-4pnr4; Toleration Key=node.ocs.openshift.io/storage; Toleration Effect=NoSchedule Pod: Reason For Non Compliance=Pod has non-default toleration; Namespace=nedr-agent; Pod Name=nedr-agent-4pnr4; Toleration Key=node.kubernetes.io/not-ready; Toleration Effect=NoExecute Pod: Reason For Non Compliance=Pod has non-default toleration; Namespace=nedr-agent; Pod Name=nedr-agent-4pnr4; Toleration Key=node.kubernetes.io/unreachable; Toleration Effect=NoExecute (… 64 more non-compliant objects) Log: [ERROR] [Apr 16 14:47:44.829] [suite.go: 792] [lifecycle-pod-toleration-bypass] Pod ""pod: nedr-agent-4pnr4 ns: nedr-agent"" has been found with non-default toleration node-role.kubernetes.io/master/NoSchedule which is not allowed. [ERROR] [Apr 16 14:47:44.829] [suite.go: 792] [lifecycle-pod-toleration-bypass] Pod ""pod: nedr-agent-4pnr4 ns: nedr-agent"" has been found with non-default toleration is_edge/NoExecute which is not allowed. [ERROR] [Apr 16 14:47:44.829] [suite.go: 792] [lifecycle-pod-toleration-bypass] Pod ""pod: nedr-agent-4pnr4 ns: nedr-agent"" has been found with non-default toleration is_control/NoExecute which is not allowed. [ERROR] [Apr 16 14:47:44.829] [suite.go: 792] [lifecycle-pod-toleration-bypass] Pod ""pod: nedr-agent-4pnr4 ns: nedr-agent"" has been found with non-default toleration node-role.kubernetes.io/infra/ which is not allowed. [ERROR] [Apr 16 14:47:44.829] [suite.go: 792] [lifecycle-pod-toleration-bypass] Pod ""pod: nedr-agent-4pnr4 ns: nedr-agent"" has been found with non-default toleration node.ocs.openshift.io/gateway/NoExecute which is not allowed. [ERROR] [Apr 16 14:47:44.829] [suite.go: 792] [lifecycle-pod-toleration-bypass] Pod ""pod: nedr-agent-4pnr4 ns: nedr-agent"" has been found with non-default toleration node.ocs.openshift.io/storage/NoSchedule which is not allowed."
lifecycle-readiness-probe,lifecycle,"Check that all containers under test have readiness probe defined. There are different ways a pod can stop on on OpenShift cluster. One way is that the pod can remain alive but non-functional. Another way is that the pod can crash and become non-functional. In the first case, if the administrator has implemented liveness and readiness checks, OpenShift can stop the pod and either restart it on the same node or a different node in the cluster. For the second case, when the application in the pod stops, it should exit with a code and write suitable log entries to help the administrator diagnose what the issue was that caused the problem.",2,"Container: Reason For Non Compliance=Container does not have ReadinessProbe defined; Namespace=nedr-agent; Pod Name=nedr-agent-4pnr4; Container Name=agent Container: Reason For Non Compliance=Container does not have ReadinessProbe defined; Namespace=nedr-agent; Pod Name=nedr-agent-5wfwt; Container Name=agent Container: Reason For Non Compliance=Container does not have ReadinessProbe defined; Namespace=nedr-agent; Pod Name=nedr-agent-6jqqt; Container Name=agent Container: Reason For Non Compliance=Container does not have ReadinessProbe defined; Namespace=nedr-agent; Pod Name=nedr-agent-hrcdd; Container Name=agent Container: Reason For Non Compliance=Container does not have ReadinessProbe defined; Namespace=nedr-agent; Pod Name=nedr-agent-ll4bf; Container Name=agent Container: Reason For Non Compliance=Container does not have ReadinessProbe defined; Namespace=nedr-agent; Pod Name=nedr-agent-pnrjk; Container Name=agent Log: [ERROR] [Apr 16 14:47:44.815] [suite.go: 308] [lifecycle-readiness-probe] Container ""container: agent pod: nedr-agent-4pnr4 ns: nedr-agent"" does not have ReadinessProbe defined [ERROR] [Apr 16 14:47:44.815] [suite.go: 308] [lifecycle-readiness-probe] Container ""container: agent pod: nedr-agent-5wfwt ns: nedr-agent"" does not have ReadinessProbe defined [ERROR] [Apr 16 14:47:44.815] [suite.go: 308] [lifecycle-readiness-probe] Container ""container: agent pod: nedr-agent-6jqqt ns: nedr-agent"" does not have ReadinessProbe defined [ERROR] [Apr 16 14:47:44.815] [suite.go: 308] [lifecycle-readiness-probe] Container ""container: agent pod: nedr-agent-hrcdd ns: nedr-agent"" does not have ReadinessProbe defined [ERROR] [Apr 16 14:47:44.815] [suite.go: 308] [lifecycle-readiness-probe] Container ""container: agent pod: nedr-agent-ll4bf ns: nedr-agent"" does not have ReadinessProbe defined [ERROR] [Apr 16 14:47:44.815] [suite.go: 308] [lifecycle-readiness-probe] Container ""container: agent pod: nedr-agent-pnrjk ns: nedr-agent"" does not have ReadinessProbe defined"
lifecycle-startup-probe,lifecycle,"Check that all containers under test have startup probe defined. Workloads shall self-recover from common failures like pod failure, host failure, and network failure. Kubernetes native mechanisms such as health-checks (Liveness, Readiness and Startup Probes) shall be employed at a minimum.",2,"Container: Reason For Non Compliance=Container does not have StartupProbe defined; Namespace=nedr-agent; Pod Name=nedr-agent-4pnr4; Container Name=agent Container: Reason For Non Compliance=Container does not have StartupProbe defined; Namespace=nedr-agent; Pod Name=nedr-agent-5wfwt; Container Name=agent Container: Reason For Non Compliance=Container does not have StartupProbe defined; Namespace=nedr-agent; Pod Name=nedr-agent-6jqqt; Container Name=agent Container: Reason For Non Compliance=Container does not have StartupProbe defined; Namespace=nedr-agent; Pod Name=nedr-agent-hrcdd; Container Name=agent Container: Reason For Non Compliance=Container does not have StartupProbe defined; Namespace=nedr-agent; Pod Name=nedr-agent-ll4bf; Container Name=agent Container: Reason For Non Compliance=Container does not have StartupProbe defined; Namespace=nedr-agent; Pod Name=nedr-agent-pnrjk; Container Name=agent Log: [ERROR] [Apr 16 14:47:44.815] [suite.go: 340] [lifecycle-startup-probe] Container ""container: agent pod: nedr-agent-4pnr4 ns: nedr-agent"" does not have StartupProbe defined [ERROR] [Apr 16 14:47:44.815] [suite.go: 340] [lifecycle-startup-probe] Container ""container: agent pod: nedr-agent-5wfwt ns: nedr-agent"" does not have StartupProbe defined [ERROR] [Apr 16 14:47:44.815] [suite.go: 340] [lifecycle-startup-probe] Container ""container: agent pod: nedr-agent-6jqqt ns: nedr-agent"" does not have StartupProbe defined [ERROR] [Apr 16 14:47:44.815] [suite.go: 340] [lifecycle-startup-probe] Container ""container: agent pod: nedr-agent-hrcdd ns: nedr-agent"" does not have StartupProbe defined [ERROR] [Apr 16 14:47:44.815] [suite.go: 340] [lifecycle-startup-probe] Container ""container: agent pod: nedr-agent-ll4bf ns: nedr-agent"" does not have StartupProbe defined [ERROR] [Apr 16 14:47:44.815] [suite.go: 340] [lifecycle-startup-probe] Container ""container: agent pod: nedr-agent-pnrjk ns: nedr-agent"" does not have StartupProbe defined"
lifecycle-statefulset-scaling,lifecycle,"Tests that workload statefulsets support scale in/out operations. First, the test starts getting the current replicaCount (N) of the statefulset/s with the Pod Under Test. Then, it executes the scale-in oc command for (N-1) replicas. Lastly, it executes the scale-out oc command, restoring the original replicaCount of the statefulset/s. In case of statefulsets that are managed by HPA the test is changing the min and max value to statefulset Replica - 1 during scale-in and the original replicaCount again for both min/max during the scale-out stage. Lastly its restoring the original min/max replica of the statefulset/s",2,
lifecycle-storage-provisioner,lifecycle,"Checks that pods do not place persistent volumes on local storage in multinode clusters. Local storage is recommended for single node clusters, but only one type of local storage should be installed (lvms or noprovisioner).",2,
lifecycle-topology-spread-constraint,lifecycle,"Ensures that Deployments using TopologySpreadConstraints include constraints for both hostname and zone topology keys. This helps telco workloads avoid needing to tweak PodDisruptionBudgets before platform upgrades. If TopologySpreadConstraints is not defined, the test passes as Kubernetes scheduler implicitly uses hostname and zone constraints. Not applicable to SNO applications.",2,
manageability-container-port-name-format,manageability,Check that the container's ports name follow the naming conventions. Name field in ContainerPort section must be of form `<protocol>[-<suffix>]`. More naming convention requirements may be released in future,2,
manageability-containers-image-tag,manageability,Check that image tag exists on containers.,2,
networking-dual-stack-service,networking,Checks that all services in namespaces under test are either ipv6 single stack or dual stack. This test case requires the deployment of the probe daemonset.,3,
networking-icmpv4-connectivity,networking,Checks that each workload Container is able to communicate via ICMPv4 on the Default OpenShift network. This test case requires the Deployment of the probe daemonset and at least 2 pods connected to each network under test(one source and one destination). If no network with more than 2 pods exists this test will be skipped.,3,
networking-icmpv4-connectivity-multus,networking,Checks that each workload Container is able to communicate via ICMPv4 on the Multus network(s). This test case requires the Deployment of the probe daemonset and at least 2 pods connected to each network under test(one source and one destination). If no network with more than 2 pods exists this test will be skipped.,4,
networking-icmpv6-connectivity,networking,Checks that each workload Container is able to communicate via ICMPv6 on the Default OpenShift network. This test case requires the Deployment of the probe daemonset and at least 2 pods connected to each network under test(one source and one destination). If no network with more than 2 pods exists this test will be skipped.,4,
networking-icmpv6-connectivity-multus,networking,Checks that each workload Container is able to communicate via ICMPv6 on the Multus network(s). This test case requires the Deployment of the probe daemonset and at least 2 pods connected to each network under test(one source and one destination). If no network with more than 2 pods exists this test will be skipped.,4,
networking-network-attachment-definition-sriov-mtu,networking,Ensures that MTU values are set correctly in NetworkAttachmentDefinitions for SRIOV network interfaces.,3,
networking-network-policy-deny-all,networking,Check that network policies attached to namespaces running workload pods contain a default deny-all rule for both ingress and egress traffic,2,"Pod: Reason For Non Compliance=Pod was found to not have a default ingress deny-all network policy; Namespace=nedr-agent; Pod Name=nedr-agent-4pnr4 Pod: Reason For Non Compliance=Pod was found to not have a default egress deny-all network policy; Namespace=nedr-agent; Pod Name=nedr-agent-4pnr4 Pod: Reason For Non Compliance=Pod was found to not have a default ingress deny-all network policy; Namespace=nedr-agent; Pod Name=nedr-agent-5wfwt Pod: Reason For Non Compliance=Pod was found to not have a default egress deny-all network policy; Namespace=nedr-agent; Pod Name=nedr-agent-5wfwt Pod: Reason For Non Compliance=Pod was found to not have a default ingress deny-all network policy; Namespace=nedr-agent; Pod Name=nedr-agent-6jqqt Pod: Reason For Non Compliance=Pod was found to not have a default egress deny-all network policy; Namespace=nedr-agent; Pod Name=nedr-agent-6jqqt Pod: Reason For Non Compliance=Pod was found to not have a default ingress deny-all network policy; Namespace=nedr-agent; Pod Name=nedr-agent-hrcdd Pod: Reason For Non Compliance=Pod was found to not have a default egress deny-all network policy; Namespace=nedr-agent; Pod Name=nedr-agent-hrcdd (… 4 more non-compliant objects) Log: [ERROR] [Apr 16 14:47:42.395] [suite.go: 345] [networking-network-policy-deny-all] Pod ""pod: nedr-agent-4pnr4 ns: nedr-agent"" was found to not have a default ingress deny-all network policy. [ERROR] [Apr 16 14:47:42.395] [suite.go: 351] [networking-network-policy-deny-all] Pod ""pod: nedr-agent-4pnr4 ns: nedr-agent"" was found to not have a default egress deny-all network policy. [ERROR] [Apr 16 14:47:42.395] [suite.go: 345] [networking-network-policy-deny-all] Pod ""pod: nedr-agent-5wfwt ns: nedr-agent"" was found to not have a default ingress deny-all network policy. [ERROR] [Apr 16 14:47:42.395] [suite.go: 351] [networking-network-policy-deny-all] Pod ""pod: nedr-agent-5wfwt ns: nedr-agent"" was found to not have a default egress deny-all network policy. [ERROR] [Apr 16 14:47:42.395] [suite.go: 345] [networking-network-policy-deny-all] Pod ""pod: nedr-agent-6jqqt ns: nedr-agent"" was found to not have a default ingress deny-all network policy. [ERROR] [Apr 16 14:47:42.395] [suite.go: 351] [networking-network-policy-deny-all] Pod ""pod: nedr-agent-6jqqt ns: nedr-agent"" was found to not have a default egress deny-all network policy."
networking-ocp-reserved-ports-usage,networking,Check that containers do not listen on ports that are reserved by OpenShift,1,"Listening Port: Reason For Non Compliance=Pod Listens to OCP reserved port in map[22623:true 22624:true]; Namespace=nedr-agent; Pod Name=nedr-agent-5wfwt; Port Number=22624; Port Protocol=TCP Listening Port: Reason For Non Compliance=Pod Listens to OCP reserved port in map[22623:true 22624:true]; Namespace=nedr-agent; Pod Name=nedr-agent-5wfwt; Port Number=22623; Port Protocol=TCP Pod: Reason For Non Compliance=Pod listens to or its containers declares some OCP reserved port in map[22623:true 22624:true]; Namespace=nedr-agent; Pod Name=nedr-agent-5wfwt Listening Port: Reason For Non Compliance=Pod Listens to OCP reserved port in map[22623:true 22624:true]; Namespace=nedr-agent; Pod Name=nedr-agent-6jqqt; Port Number=22624; Port Protocol=TCP Listening Port: Reason For Non Compliance=Pod Listens to OCP reserved port in map[22623:true 22624:true]; Namespace=nedr-agent; Pod Name=nedr-agent-6jqqt; Port Number=22623; Port Protocol=TCP Pod: Reason For Non Compliance=Pod listens to or its containers declares some OCP reserved port in map[22623:true 22624:true]; Namespace=nedr-agent; Pod Name=nedr-agent-6jqqt Listening Port: Reason For Non Compliance=Pod Listens to OCP reserved port in map[22623:true 22624:true]; Namespace=nedr-agent; Pod Name=nedr-agent-hrcdd; Port Number=22623; Port Protocol=TCP Listening Port: Reason For Non Compliance=Pod Listens to OCP reserved port in map[22623:true 22624:true]; Namespace=nedr-agent; Pod Name=nedr-agent-hrcdd; Port Number=22624; Port Protocol=TCP (… 1 more non-compliant objects) Log: [ERROR] [Apr 16 14:47:40.882] [netcommons.go: 219] [networking-ocp-reserved-ports-usage] ""pod: nedr-agent-5wfwt ns: nedr-agent"" has one container (""agent"") listening on port 22624 (TCP) that has been reserved [ERROR] [Apr 16 14:47:40.883] [netcommons.go: 219] [networking-ocp-reserved-ports-usage] ""pod: nedr-agent-5wfwt ns: nedr-agent"" has one container (""agent"") listening on port 22623 (TCP) that has been reserved [ERROR] [Apr 16 14:47:41.185] [netcommons.go: 219] [networking-ocp-reserved-ports-usage] ""pod: nedr-agent-6jqqt ns: nedr-agent"" has one container (""agent"") listening on port 22624 (TCP) that has been reserved [ERROR] [Apr 16 14:47:41.185] [netcommons.go: 219] [networking-ocp-reserved-ports-usage] ""pod: nedr-agent-6jqqt ns: nedr-agent"" has one container (""agent"") listening on port 22623 (TCP) that has been reserved [ERROR] [Apr 16 14:47:41.548] [netcommons.go: 219] [networking-ocp-reserved-ports-usage] ""pod: nedr-agent-hrcdd ns: nedr-agent"" has one container (""agent"") listening on port 22623 (TCP) that has been reserved [ERROR] [Apr 16 14:47:41.549] [netcommons.go: 219] [networking-ocp-reserved-ports-usage] ""pod: nedr-agent-hrcdd ns: nedr-agent"" has one container (""agent"") listening on port 22624 (TCP) that has been reserved"
networking-reserved-partner-ports,networking,Checks that pods and containers are not consuming ports designated as reserved by partner,2,
networking-restart-on-reboot-sriov-pod,networking,Ensures that the label restart-on-reboot exists on pods that use SRIOV network interfaces.,2,
networking-undeclared-container-ports-usage,networking,Check that containers do not listen on ports that weren't declared in their specification. Platforms may be configured to block undeclared ports.,2,"Listening Port: Reason For Non Compliance=Listening port was declared in no container spec; Namespace=nedr-agent; Pod Name=nedr-agent-4pnr4; Port Number=22; Port Protocol=TCP Listening Port: Reason For Non Compliance=Listening port was declared in no container spec; Namespace=nedr-agent; Pod Name=nedr-agent-4pnr4; Port Number=9140; Port Protocol=TCP Listening Port: Reason For Non Compliance=Listening port was declared in no container spec; Namespace=nedr-agent; Pod Name=nedr-agent-4pnr4; Port Number=29105; Port Protocol=TCP Listening Port: Reason For Non Compliance=Listening port was declared in no container spec; Namespace=nedr-agent; Pod Name=nedr-agent-4pnr4; Port Number=443; Port Protocol=TCP Listening Port: Reason For Non Compliance=Listening port was declared in no container spec; Namespace=nedr-agent; Pod Name=nedr-agent-4pnr4; Port Number=9141; Port Protocol=TCP Listening Port: Reason For Non Compliance=Listening port was declared in no container spec; Namespace=nedr-agent; Pod Name=nedr-agent-4pnr4; Port Number=53819; Port Protocol=TCP Listening Port: Reason For Non Compliance=Listening port was declared in no container spec; Namespace=nedr-agent; Pod Name=nedr-agent-4pnr4; Port Number=10248; Port Protocol=TCP Listening Port: Reason For Non Compliance=Listening port was declared in no container spec; Namespace=nedr-agent; Pod Name=nedr-agent-4pnr4; Port Number=8797; Port Protocol=TCP (… 279 more non-compliant objects) Log: [ERROR] [Apr 16 14:47:37.861] [suite.go: 205] [networking-undeclared-container-ports-usage] ""pod: nedr-agent-4pnr4 ns: nedr-agent"" is listening on port 22 protocol ""TCP"", but that port was not declared in any container spec. [ERROR] [Apr 16 14:47:37.861] [suite.go: 205] [networking-undeclared-container-ports-usage] ""pod: nedr-agent-4pnr4 ns: nedr-agent"" is listening on port 9140 protocol ""TCP"", but that port was not declared in any container spec. [ERROR] [Apr 16 14:47:37.861] [suite.go: 205] [networking-undeclared-container-ports-usage] ""pod: nedr-agent-4pnr4 ns: nedr-agent"" is listening on port 29105 protocol ""TCP"", but that port was not declared in any container spec. [ERROR] [Apr 16 14:47:37.861] [suite.go: 205] [networking-undeclared-container-ports-usage] ""pod: nedr-agent-4pnr4 ns: nedr-agent"" is listening on port 443 protocol ""TCP"", but that port was not declared in any container spec. [ERROR] [Apr 16 14:47:37.861] [suite.go: 205] [networking-undeclared-container-ports-usage] ""pod: nedr-agent-4pnr4 ns: nedr-agent"" is listening on port 9141 protocol ""TCP"", but that port was not declared in any container spec. [ERROR] [Apr 16 14:47:37.861] [suite.go: 205] [networking-undeclared-container-ports-usage] ""pod: nedr-agent-4pnr4 ns: nedr-agent"" is listening on port 53819 protocol ""TCP"", but that port was not declared in any container spec."
observability-compatibility-with-next-ocp-release,observability,Checks to ensure if the APIs the workload uses are compatible with the next OCP version,2,
observability-container-logging,observability,"Check that all containers under test use standard input output and standard error when logging. A container must provide APIs for the platform to observe the container health and act accordingly. These APIs include health checks (liveness and readiness), logging to stderr and stdout for log aggregation (by tools such as Logstash or Filebeat), and integrate with tracing and metrics-gathering libraries (such as Prometheus or Metricbeat).",2,
observability-crd-status,observability,Checks that all CRDs have a status sub-resource specification (Spec.versions[].Schema.OpenAPIV3Schema.Properties[“status”]).,3,
observability-pod-disruption-budget,observability,"Checks to see if pod disruption budgets have allowed values for minAvailable and maxUnavailable, and verifies that PDBs are zone-aware (can tolerate an entire zone going offline during platform upgrades)",3,
observability-termination-policy,observability,"Check that all containers are using terminationMessagePolicy: FallbackToLogsOnError. There are different ways a pod can stop on an OpenShift cluster. One way is that the pod can remain alive but non-functional. Another way is that the pod can crash and become non-functional. In the first case, if the administrator has implemented liveness and readiness checks, OpenShift can stop the pod and either restart it on the same node or a different node in the cluster. For the second case, when the application in the pod stops, it should exit with a code and write suitable log entries to help the administrator diagnose what the issue was that caused the problem.",2,"Container: Reason For Non Compliance=TerminationMessagePolicy is not FallbackToLogsOnError; Namespace=nedr-agent; Pod Name=nedr-agent-4pnr4; Container Name=agent Container: Reason For Non Compliance=TerminationMessagePolicy is not FallbackToLogsOnError; Namespace=nedr-agent; Pod Name=nedr-agent-5wfwt; Container Name=agent Container: Reason For Non Compliance=TerminationMessagePolicy is not FallbackToLogsOnError; Namespace=nedr-agent; Pod Name=nedr-agent-6jqqt; Container Name=agent Container: Reason For Non Compliance=TerminationMessagePolicy is not FallbackToLogsOnError; Namespace=nedr-agent; Pod Name=nedr-agent-hrcdd; Container Name=agent Container: Reason For Non Compliance=TerminationMessagePolicy is not FallbackToLogsOnError; Namespace=nedr-agent; Pod Name=nedr-agent-ll4bf; Container Name=agent Container: Reason For Non Compliance=TerminationMessagePolicy is not FallbackToLogsOnError; Namespace=nedr-agent; Pod Name=nedr-agent-pnrjk; Container Name=agent Log: [ERROR] [Apr 16 14:47:44.809] [suite.go: 184] [observability-termination-policy] Container ""container: agent pod: nedr-agent-4pnr4 ns: nedr-agent"" does not have a TerminationMessagePolicy: FallbackToLogsOnError (has File) [ERROR] [Apr 16 14:47:44.809] [suite.go: 184] [observability-termination-policy] Container ""container: agent pod: nedr-agent-5wfwt ns: nedr-agent"" does not have a TerminationMessagePolicy: FallbackToLogsOnError (has File) [ERROR] [Apr 16 14:47:44.809] [suite.go: 184] [observability-termination-policy] Container ""container: agent pod: nedr-agent-6jqqt ns: nedr-agent"" does not have a TerminationMessagePolicy: FallbackToLogsOnError (has File) [ERROR] [Apr 16 14:47:44.809] [suite.go: 184] [observability-termination-policy] Container ""container: agent pod: nedr-agent-hrcdd ns: nedr-agent"" does not have a TerminationMessagePolicy: FallbackToLogsOnError (has File) [ERROR] [Apr 16 14:47:44.809] [suite.go: 184] [observability-termination-policy] Container ""container: agent pod: nedr-agent-ll4bf ns: nedr-agent"" does not have a TerminationMessagePolicy: FallbackToLogsOnError (has File) [ERROR] [Apr 16 14:47:44.809] [suite.go: 184] [observability-termination-policy] Container ""container: agent pod: nedr-agent-pnrjk ns: nedr-agent"" does not have a TerminationMessagePolicy: FallbackToLogsOnError (has File)"
operator-catalogsource-bundle-count,operator,Tests operator catalog source bundle count is less than 1000,2,
operator-crd-openapi-schema,operator,Tests whether an application Operator CRD is defined with OpenAPI spec.,2,
operator-crd-versioning,operator,Tests whether the Operator CRD has a valid versioning.,2,
operator-install-source,operator,Tests whether a workload Operator is installed via OLM.,2,
operator-install-status-no-privileges,operator,Checks whether the operator needs access to Security Context Constraints. Test passes if clusterPermissions is not present in the CSV manifest or is present with no RBAC rules related to SCCs.,2,
operator-install-status-succeeded,operator,"Ensures that the target workload operators report ""Succeeded"" as their installation status.",2,
operator-multiple-same-operators,operator,Tests whether multiple instances of the same Operator CSV are installed.,2,
operator-olm-skip-range,operator,Test that checks the operator has a valid olm skip range.,2,
operator-pods-no-hugepages,operator,Tests that the pods do not have hugepages enabled.,2,
operator-semantic-versioning,operator,Tests whether an application Operator has a valid semantic versioning.,2,
operator-single-crd-owner,operator,Tests whether a CRD is owned by a single Operator.,2,
operator-single-or-multi-namespaced-allowed-in-tenant-namespaces,operator,"Verifies that only single/multi namespaced operators are installed in a tenant-dedicated namespace. The test fails if this namespace contains any installed operator with Own/All-namespaced install mode, unlabeled operators, operands of any operator installed elsewhere, or pods unrelated to any operator.",2,
performance-cpu-pinning-no-exec-probes,performance,"Workloads utilizing CPU pinning (Guaranteed QoS with exclusive CPUs) should not use exec probes. Exec probes run a command within the container, which could interfere with latency-sensitive workloads and cause performance degradation.",2,
performance-exclusive-cpu-pool,performance,Ensures that if one container in a Pod selects an exclusive CPU pool the rest select the same type of CPU pool,2,
performance-exclusive-cpu-pool-rt-scheduling-policy,performance,"Ensures that if application workload runs in exclusive CPU pool, it chooses RT CPU schedule policy and set the priority less than 10.",2,
performance-isolated-cpu-pool-rt-scheduling-policy,performance,Ensures that a workload running in an application-isolated exclusive CPU pool selects a RT CPU scheduling policy,2,
performance-max-resources-exec-probes,performance,Checks that less than 10 exec probes are configured in the cluster for this workload. Also checks that the periodSeconds parameter for each probe is superior or equal to 10.,2,
